airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Delta Air Lines,1,Amparo Reyes,6th September 2018,"✅ Trip Verified | New York to Santiago. I will never chose Delta to fly again. I paid for a very expensive ticket and I was treated very unfair. I was given no respect and was given no attention as a customer. I was seated twice on the plane and both times had to leave the plane because of some excuses. First they said the plane had some mechanical issues, then they said the pilot had just came from a 10 hour flight and was tired. Then they said we couldn’t leave because of bad weather, which was a complete cover up for everything else. I spent more than 24 hours at the airport and even had to sleep on the floor. I was disgusted by the treatment, attention, care, and service of Delta!",,Family Leisure,Economy Class,New York to Santiago,August 2018,1,1,1,,1,1,no
Delta Air Lines,1,Petre Lapuste,5th September 2018,"✅ Trip Verified | Atlanta to Fort Lauderdale. Worst company and service ever. No customer service at all, no knowledge on what they are doing and no respect for people. They don't return calls, no notice or fix your ticket IF your flight gets changed because of their service. Very unprofessional",,Family Leisure,Economy Class,Atlanta to Fort Lauderdale,September 2018,1,1,1,1,1,1,no
Delta Air Lines,1,C Lang,2nd September 2018,"✅ Trip Verified | New York to Chicago. First time flying Delta. Booked first class ticket. Not informed 7.30pm flight was cancelled until arrival at JFK from an overseas flight. Cancellation was allegedly a result of poor weather (weather in NYC and Chicago were fine). Rebooked on next day midday as ""there were no more first class seats on the 8.30am flight"". No hotel accommodation or food was arranged and Delta Sky Priority staff at counter told that there would be no reimbursement because the flight cancellation was due to ""poor weather"". Mididay flight was then delayed until 1.30pm and again until 3pm. In total - a simple 2.5 hour flight resulted in an almost 24 hour delay. Complete disaster.",,Solo Leisure,First Class,New York to Chicago,September 2018,3,3,3,3,1,1,no
Delta Air Lines,1,Bruna Scorsatto,1st September 2018,"Not Verified | I took the flight DL422 from Sao Paulo to Berlin on August 14th with a 8 hour layover in New York. The first part of the trip was ok but unfortunately I can't say the same about the NY-Berlin portion. The flight was delayed in more than one hour and when I got to Berlin I found out my luggage had been lost. I didn't receive any support from Delta, instructions on what to do, if they were trying to track my luggage, anything. Everything I had was on my dispatched luggage, I had nothing but my passport, wallet and camera on me. When I complained about not getting any support from them, an employee gave me a toiletry kit with a small tooth brush and some shaving cream and sent me to the lost and found area of Tegel airport. After waiting in line for almost 2 hours, I was told there was nothing they could do and I should fill out a form online with my personal information and if they found my bag, they would contact me. When I tried to talk to Delta employees again, I discovered there were none at the airport anymore (it was 3 pm) and there was no one at the airport I could talk about my situation. On the following day, I returned to the airport to try to solve the situation with a Delta employee and I was told my luggage had arrived on the flight from New York that was landing at that time but they couldn't hand me my bag because it had to go through customs. After that, I kept receiving emails saying my luggage was still lost and couldn't be tracked and I should be patient. My luggage was only delivered on Wednesday of the following week. At any point I was not contacted by Delta airlines with instructions, received any support or voucher to pay for the extra expenses I had to have or even an apology note. Having spent half of my time in Berlin without my luggage seriously impacted my time there as I was always concerned that my luggage might be delivered while I was out of the house. I didn't stay at a hotel and the building didn't have a doorman and no one would be there to pick it up. I was worried about not having my things back at all as I kept getting emails saying they had no idea where my luggage was, was always uncomfortable from wearing clothes borrowed from friends and generally just stressed out by the lack of care toward me from Delta.",,Solo Leisure,Economy Class,Sao Paulo to Berlin via New York,August 2018,1,3,3,2,1,1,no
Delta Air Lines,10,M Stean,31st August 2018,"✅ Trip Verified | Raleigh Durham to Seattle Tacoma. My experience was outstanding from comfortable seating, online check in, the meal selection, and flight attendants. I didn't realize how amazing delta was until I took a different airline home with my 3 year old. Delta definitely has set outstanding standards thank you for making my flight to Seattle enjoyable & I got to watch all the good movies that my husband never let's me pick.",,Solo Leisure,Economy Class,Raleigh Durham to Tacoma,August 2018,5,5,5,5,5,5,yes
Delta Air Lines,10,Andrew Vaughn,30th August 2018,"✅ Trip Verified | Maui to Las Vegas. Was very impressed. Hurricane Lane was on its way to Hawaii. While all other airlines cancelled all flights, Delta saw it was safe to still fly in and out a little longer until the bad weather hit. The storm was about to hit us so Delta moved up the departure time about 20 minutes so we could make it out safely. We made it out of there with no complications, barely even any turbulence. We would’ve been stuck there for days if they didn’t go the extra mile to get us out of there.",,Couple Leisure,Premium Economy,Maui to Las Vegas,August 2018,4,5,3,4,5,4,yes
Delta Air Lines,5,Nikki Weekly,29th August 2018,"✅ Trip Verified | Oh Delta! To begin, all my flights were on time. Stewardesses were pleasant. Except when one decided it was ok to tell me that I’d be much prettier if I didn’t have on my beanie hat. But I degress. My sole complaint is about every single solitary employee I came in contact with whether at ticketing or the gate. All of them were unwelcoming, stood with a sour look on their face, had a lack of personality and enthusiasm for their jobs, didn’t make customers feel appreciated and made me feel like I was bothering them if I asked them a question. Whew! From someone who is in the hospitality industry and understands the importance of customer service, Delta receives a big fat F! The initial contact with a company is everything and if I was a person of authority within this organization, I’d perform a complete retraining on all front desk staff. In the future, I’ll ask my corporate office to book me on another airline.",,Business,Business Class,Baltimore to Nashville via Atlanta,August 2018,5,5,4,,1,4,no
Delta Air Lines,1,S Lee,27th August 2018,"✅ Trip Verified | Los Angeles to San Diego. Worst experience ever. Just before boarding, they took my cabin luggage saying there was no more room in the aircraft. Arrived in San Diego and my luggage is missing. How can an airline be so unprofessional on an 1-hour flight? They ruined 1 day of vacation and nobody can explain what happened. Run away from Delta airlines.",,Family Leisure,Economy Class,Los Angeles to San Diego,August 2018,2,2,,,1,1,no
Delta Air Lines,1,T Deane,26th August 2018,"✅ Trip Verified | Bonaire to Baltimore via Atlanta. I was supposed to be rebooked on this flight due to an AA flight being extremely delayed because of weather. AA was extremely helpful and friendly while getting us re booked on a Delta flight since all other AA flights were sold out. Success! So we thought. Delta was too incompetent to figure out the new reservation, even after we gave them the new confirmation number and showed them the email we received from Delta conforming our new flight - once Delta figured out what was going on (they took too long) and then said the flight just closed and we were no longer allowed to check in. Now we had no flight home and had to start all over again. When asked to speak with a Delta supervisor, we were told that one was not available and because the guy was only a trainee he couldn’t help us. Thanks to AA they were able to help find us another flight. I will never chose Delta for a flight option ever. Their customer service is one of the worst I’ve seen!",,Couple Leisure,Economy Class,Bonaire to Baltimore via Atlanta,August 2018,,,,,1,1,no
Delta Air Lines,6,X Pan,25th August 2018,"✅ Trip Verified | Houston to Shanghai via Detroit. The wifi onboard was good. The airline service is okay generally, but not for a team out for a robotics competition: we were in Houston for a robotics competition and checked our robot before the flight. However, the ground staff made us dissemble our robot, which caused significant damage. Also, I think Delta's fares are relatively high when compared to its competitors like, which may be a concern. Their service is much better than United though.",CRJ900 / A350-900,Business,Economy Class,Houston to Shanghai via Detroit,April 2018,4,4,4,5,1,3,yes
Delta Air Lines,2,Zoe Rodriguez,23rd August 2018,✅ Trip Verified | Seoul to New York via Seattle. There is always a reason why they leave you sitting in the airplane minutes after it lands. This airline is horrible. My most recent experience yesterday (8/22/18) we sat on the runway for 30 mins and I missed my connection. Now we are sitting here again after landing finally in New York. This time there’s some excuse about something breaking down. It’s such a joke. Very frustrating. Not only are you sitting in a little baby airplane for hours all scrunched up but then you can’t even get off when you finally arrive. 15 mins sitting as I type. Unreal. I’ll probably miss my transfer home now as a result.,,Solo Leisure,Economy Class,Seoul to New York via Seattle,August 2018,1,1,1,5,1,1,no
Delta Air Lines,1,Diane Bosch,23rd August 2018,"✅ Trip Verified | New Orleans to New York. One of the worst airline experiences of my life with irresponsible, and horrible customer service. This was supposed to be a direct flight from MSY to NYC. It left several hours late due to a landing gear failure, yet they still flew the plane - but only to Atlanta! From there they would not let me take my checked bag off the plane, even though they were switching planes and I notified them I would be booking a ticket with another airline from ATL since they tardiness caused me to miss my flight to Ireland at JFK. I landed in Ireland 9 hours late, spent and extra $1300, did not get refunded on my Delta flight, and on top of that am still missing my bag 2 days later. Unreal.",,Solo Leisure,First Class,New Orleans to New York,August 2018,1,1,1,1,1,1,no
Delta Air Lines,3,Mahdin Mahboob,22nd August 2018,"✅ Trip Verified | New York to Tampa. Almost 2 hours delayed start, which, in today's world, is plain and simple unacceptable. I understand that it was probably not their fault completely, but the airline should have ensured access to the runway before boarding the flight and make us sit inside the plane for so long without it starting.",Boeing 717-200,Solo Leisure,Economy Class,New York to Tampa,August 2018,1,4,3,1,1,3,yes
Delta Air Lines,2,S Vaidana,22nd August 2018,✅ Trip Verified | Detroit to Montreal. Honestly the worst experience ever. We had a flight from hspan to Detroit then to Montreal. The Japan Detroit was great people were amazing but once we got to Detroit everything went down. We asked if we can move our layover flight earlier as delays started to appear they said if it's not 90 min they can't or we have to pay 400 usd in total for a flight change. We decided its not worth it. So we took our original flight next morning which has been replayed since 5 am. Its been delayed with no explanation again and again. The staff at delays usa is completely rude. Do not answer questions i mean who is training them? Do they even get training? I am literally still sitting here waiting for a plane which is so stupid because I am only 1.4 hours away from Montreal. Horrible. 1st time ever using them and last time ever.,,Business,Economy Class,Detroit to Montreal,August 2018,1,3,2,1,1,1,no
Delta Air Lines,2,H Garlen,21st August 2018,"✅ Trip Verified | Eugene to Las Vegas. Exceptionally slow service. I understand that computers can take time, but the folks working behind the counter were casually strolling from side to side and into back room at a pace that was painful to watch. High disregard for the long line of people waiting to check bags. Please improve the sense of urgency at Eugene.",,Business,Economy Class,Eugene to Las Vegas,August 2018,2,3,3,2,2,2,yes
Delta Air Lines,9,Murat Polat,21st August 2018,"✅ Trip Verified | The plane, despite it being 14 years old, was in great condition. The plane was packed, however, I was assigned a seat next to the emergency exit so the legroom was amazing. The crew were friendly and we were served snacks and drinks. There was no IFE system on the back of seats, however, there was WiFi (free Facebook Messenger and WhatsApp, otherwise paid) and I was able to check the flight status. This was the first time I flew in something smaller than an A320, and I was impressed!",CRJ700,Solo Leisure,Economy Class,Detroit to Montreal,March 2018,5,5,4,,5,4,yes
Delta Air Lines,9,Matteo Bertoni,19th August 2018,"✅ Trip Verified | Milan to Cancun return via Atlanta in business and my expectations were exceeded. Excellent polite staff at MXP Airport very helpful and professional, once on board senior cabin attendants warm and grateful to us for flying with them. Sky priority is a good product, seats and food good quality. Lounges in ATL are huge full of people, drinks and food I think DL it's the best US airline choice and can compete with the Europeans. Delta mobile app so useful and efficient with the possibility to truck your luggage also. Wi-fi was working on all flights perfectly and for free.",,Solo Leisure,Business Class,Milan to Cancun via Atlanta,August 2018,4,4,5,3,5,5,yes
Delta Air Lines,1,I Aleksanyan,19th August 2018,"Not Verified | Orlando to Los Angeles. Checked in a minute before my time, got ""assigned seats"" in row 40. Called customer service to change my seats, because I was traveling with my 3 1/2 year old. I said I will pay whatever the price is for ""comfort"" seats, they said I don't even qualify to pick those seats. The ""roomy"" seats were by the exits and I can't sit there with a kid. Bottom line I was stuck by the bathrooms on a 5 hour flight with my son. We fly frequently and this was the First and last time we will fly with Delta. A I would rather pay way more than fly with Delta. Worst I've ever flown!",,Family Leisure,Economy Class,Orlando to Los Angeles,August 2018,1,1,,,1,1,no
Delta Air Lines,10,Yan Zhang,17th August 2018,"✅ Trip Verified | Cincinnati to Calgary. I didn't realize my passport was expired until I was in the airport to check in, while my families' are still active, they left without me. I was in a great disappointment since we are traveling to Canada I couldn't leave without a passport. One of the ground crews showed her empathy and kindly lead me to the special help crews. They talked and came up with a plan, since it was early in the morning and we are close to Chicago (~8am), they tried to help me get to Chicago Passport Agency (closed at 3pm) and have my passport renewed on the same day. So that they booked me a ticket to Chicago and rebooked my trips for the next early morning leaving from Chicago all for free! Since I needed two 2""x 2"" pictures and form DS 82 before I go to the CPA, staff helped me to find a nearest place where I could get those documents, and she even walked me down to the ground transportation. It was a long day and lots of running, but I was so lucky everything worked so smoothly, I was at Calgary just about 12 hours later than our original arrival time. My trip wouldn't happen without the help of these staff. Delta has super sweet staff and fare price.",,Family Leisure,Economy Class,Cincinnati to Calgary,August 2018,5,5,5,5,5,5,yes
Delta Air Lines,1,Derek Rodeback,16th August 2018,✅ Trip Verified | San Francisco to Atlanta. Never more frustrated. Flight delayed and missed connection. No representatives to speak with only told the flight left and to go to a different gate when at gate and told to go to baggage claim because desk was closing. Flight could have waited less than 5 min for the late delta flight to get off as next flight was one gate down. Oh and we couldn't get off flight because a truck was blocking gate. No excuse for this any other business would be bankrupt.,,Business,Economy Class,San Francisco to Atlanta,August 2018,1,1,1,1,1,1,no
Delta Air Lines,1,Y Johnson,16th August 2018,"Not Verified | My recent flight from JFK New York to Sacramento via Atlanta was 24 hours from hell. Despite my efforts in trying to remain optimistic, experiencing disappointment after disappointment, I had to choice but to just be upset. I flew out of JFK on a rainy day, therefore all of the Delta flights were delayed. I found it curious that the online airline that experienced delayed take-offs was Delta that day, but what can you do? The delay would make me miss my second flight I need to get to my final destination. When I spoke to a Delta employee about re-navigating my flight, I was given very half-invested attention. From making jokes constantly with her fellow employee, to forgetting what she was searching for, she ended up booking me on my original flight in hopes we would make up time in the air. I just went with it, trusting a professional opinion over my own. Of course the flight was delayed even more and I missed my flight and the second option she put me on standby for. Delta accommodated me with a hotel and meal voucher. I the next available flight from Atlanta to Sacramento the next morning. Not anything you can do at this point. As inconvenient as this was, this is not the part of my Delta experience that really put me off. After finally arriving to Sacramento, I only an item that was at the top of one of my bags was missing and my other bag was missing altogether. When I finally received my second bag at home that night via their delivery service, the wheel was completely broken off and the side of my baggage had a big hole in it. Can't recommend this airline after receiving my belongings in such a state. Basically I received poor customer service, 12 hours added to my travel and over $300 worth of damage/lost items.",,Solo Leisure,Economy Class,New York City to Sacramento via Atlanta,August 2018,3,2,3,4,1,1,no
Delta Air Lines,1,N Garvin,15th August 2018,"✅ Trip Verified | Amsterdam to Indianapolis via New York. Worst flight experience I have ever had. I have flown a lot for work and vacation. Delta Airlines cancelled my flight due to “weather conditions”, but the nothing supported that reason. Delta failed to plan for contingencies and left several individuals and families stranded at JFK without any accommodations or productive solutions for their customers. The staff were rude and displayed no compassion to the travelers. Bottom line, do not fly Delta Airlines.",,Solo Leisure,Economy Class,Amsterdam to Indianapolis via New York,August 2018,1,1,1,1,1,1,no
Delta Air Lines,2,P Morton,14th August 2018,✅ Trip Verified | Las Vegas to Portland via Seattle. I've had nothing but issues with Delta. I booked a trip to Vegas for a wedding. The flight was delayed to the point I was late for the wedding. There was absolutely no customer service. Every employee I talked to trying to get a different flight just blew me off. One actually told me I should have booked with another airline because all the Delta flights are late. She was correct. Every single flight has been delayed. Its cost me a total of over 8 hours of layover time. What a joke. Awful customer service and nothing but late flights. I would recommend any other company besides Delta.,Boeing 737,Solo Leisure,Economy Class,Las Vegas to Portland via Seattle,August 2018,3,3,3,4,1,1,no
Delta Air Lines,3,Praveenkumar Srinivasan,14th August 2018,"✅ Trip Verified | Me and my family were supposed to fly to Buffalo from LGA by Delta. The flight was originally scheduled at 11.50 am 13th Aug 2018. I got an SMS at 9.30 am saying the flight is cancelled due to bad weather. There were mild showers for 30 mins or so, but most other airlines were operating, even Delta had another flight 4 hrs later on the same day to same destination. They could have delayed the flight by 2-3 hrs, but they cancelled it and booked a flight for 14th morning. It will throw off all my subsequent plans (extended hotel stay in New York, plans in BUF and flight booked from BUF back to NYC). I tried booking some other airlines within 2-3 hrs, the prices of which were $600-700 for each ticket. It was a very uncomfortable and stressful experience.",,Family Leisure,Economy Class,La Guardia to Buffalo,August 2018,,,,,2,2,no
Delta Air Lines,7,P Werasopon,13th August 2018,"✅ Trip Verified | Salt Lake City to San Francisco. This is the short domestic flight. The checked bag will be charged for 25USD for the first bag when checked in. My bag was 55 lbs which is a bit exceed the allowance. I asked the staff to repack my bag, removing something out and re-scale the weight. She blamed me and talked many words. She wanted me to pay the heavy-bag charge just because to complete everything quickly. Then I gave up and let her charge the fee. She completed printing the tag and receipt and said ""a hundred dollars"". I have just known the fee at that moment. She never informed the fee before. 100USD is about 80% of my ticket price. My friends checked-in at the counter beside. Staff advised them to re-pack. She was very polite and helpful. Poor me, wrong counter, changed the experience. On cabin experience, everything went very well. Thai cabin crew on board was very very nice. She was very helpful, respectful and service-minded. All other crews were also nice. Overall experience over the Delta domestic short flight was good except only one bad ground staff at the check-in counter.",Boeing 737-800,Solo Leisure,Economy Class,Salt Lake City to San Francisco,August 2018,4,5,3,4,1,3,yes
Delta Air Lines,3,F Chilton,13th August 2018,"✅ Trip Verified | Raleigh Durham to New York. This has been the worst flying experience. In fact, we never actually ended up flying and did not make it to our destination. We were originally booked to fly to NYC on August 4th and back on August 5th for a weekend trip, and that flight was delayed for 2 hours and then cancelled after a very short time, and I'm about 99% sure this was due to a mechanical issue. We rebooked for the next weekend on the same flights (August 11th-August 12th), and the gate agent was willing to upgrade us to first class. Sounds great, right? I guess it would've if that had actually worked out. That flight was delayed for 3 hours and then cancelled AGAIN. Now, this time, it was due to weather, which they can't control; however, this is the first time I've been cancelled due to weather. In the past, I've been delayed for a long time, but not cancelled. We rebooked on another flight, this was 3 hours later, and it gets delayed due to weather/late inbound flight, and once it finally makes it to the gate, we get ready to board, and then the gate agent announces that the flight was cancelled again literally just as the plane is about to board. Some airlines like to keep delaying the flight and are really hesitant to cancel, where as Delta just decides to give up and cancel the flights. We went back to the counter and asked to rebook and there was one agent there who was literally the opposite of helpful, and he kept asking us to wait a minute, and then stand back, and to give priority to the people on the Paris flight, and my dad had to call his attention by saying, ""Don't worry about us. We're just customers going to go to New York,"" and the one woman that was standing next to him gave another sarcastic remark, and then they walked away. We waited an hour and a half on the phone to ask if we could be reimbursed. They were willing to give us our money back. I've flown Delta many times without incident, but I have to say I was quite disappointed this time. I'm not saying I won't fly them again because I will, but this was an experience that really let me down. They are usually good to us, but this was an experience that I won't soon forget. My ratings for Value for money and Ground service are based on this trip. My ratings for Seat comfort and Cabin Staff service can't apply for this trip because we never actually made it into the air or even on the plane, so they are based on past experiences with Delta.",Embraer 175,Family Leisure,Economy Class,Raleigh Durham to New York,August 2018,4,4,,,1,2,no
Delta Air Lines,1,T Hayne,13th August 2018,"✅ Trip Verified | Austin to Seattle. Baggage handling was completely incompetent. I checked in online and printed my boarding pass, but it took 35 minutes in a huge long line simply to drop off my bag in Austin. After arriving in Seattle, it took one full hour after the flight reached the gate before I got my bag!! From what the staff told me, the bags were unloaded from the airplane but no one was there to deliver them to the baggage claim area. We were all standing around waiting for our bags and it took a very long time for the staff to figure out what happened. Finally I got my bag and was given a ticket for some bonus miles, but the agent did not tell me that I only had 3 days to claim them. I waited until I returned home a week later, and by then it was too late to get the miles. The flight was expensive and uncomfortable The 6:40 am departure time was too early. And wasting over 1.5 hours of my time on dropping off and collecting my suitcase was inexcusable. Overall a terrible experience with Delta and I will avoid flying with them in future.",,Solo Leisure,Economy Class,Austin to Seattle,August 2018,1,5,,,1,1,no
