airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Alaska Airlines,1,D Neales,23rd August 2018,âœ… Trip Verified | Salt Lake City to San Francisco. Terrible customer service. Flight was delayed and they assured us we would have plenty of time to make it to our connecting flight. We did not. Only barely just made it running through the airport with my wife and 2 year old son. Plane almost left without us. Oh and we also checked our stroller at the gate and they didn't give it back to us - they want us to pick it up back in San Francisco.,,Family Leisure,Economy Class,Salt Lake City to San Francisco,Aug-18,3,3,3,,1,1,no
Alaska Airlines,1,Brittany Madden,22nd August 2018,"Not Verified | Dallas to La Guardia. I have been flying with Virgin for a long time and loved every flight with them. Since they have merged with Alaska everything, including most of the flight attendants has gone downhill and fast. Even first class flights with them you have a 50% chance of having a rude flight attendant. I have had delays my last six flights, runs out of food, wont fill up a water bottle for you, changing the support dog policy and not notifying anyone, Customer service line is like speaking to a robot telling you the same sentence over and over again. I will be going out of my way to travel DFW airport so I don't have to deal with the delays and rude people who are think they are better than you. Get it together Alaska, you are officially the worst airline on a consecutive basis i have ever flown.",,Solo Leisure,Economy Class,Dallas to La Guardia,Aug-18,1,1,1,1,2,1,no
Alaska Airlines,3,S Charman,22nd August 2018,"âœ… Trip Verified | Seattle to Portland. Terrible experience with our carry-on luggages. My husband and I were required to check our carry-ons because we were informed right before entering the plane, that the plane was too small for luggages. We never received luggage tags and were told to go ahead and board, that we could pick up our bags immediately after the flight. This flight was delayed 45 minutes, we arrived in Portland only about 10 minutes before our connecting flight to Detroit was leaving. When we attempted to pick up our carry-on bags from the people unloading on the tarmac, we were told to head to our connecting flight and that our luggages were also going to Detroit. We asked the gentleman unloading to allow us to take our luggages with us, since they were on the cart in front of us but not tagged, however he refused and told us he would be sending them to Detroit and was bringing them down in 4 minutes. Even though it was clear he had no way of knowing which luggages were ours and needed to go to DTW. At the gate before boarding the plane, we again explained the situation to one of the gentleman in charge of the boarding process and that our luggages had been taken from us, however, we never received any luggage tags. He asked us to describe the bags and assured us we would have them once we landed at DTW. Once we landed at DTW we headed to baggage claims, however, our bags never arrived. We proceeded to the Alaskan bag check-in counter, since the Alaska baggage service office was closed and there was no sign indicating when it would open. There was a gentleman who finally assisted us by having us write down our information. However, he said since we did not have official luggage tags no further inquiry could be made. When we insisted we receive some sort of confirmation or claim report to verify record of this incident he assured us his supervisor would meet us at the baggage claim service center to assist us further. We returned to ground level and waited in front of the door for over 20 minutes before returning upstairs to see if she would still be coming to meet us. We spoke with the same gentleman who helped us earlier he assured us she was on her way. After returning downstairs and waiting for another 15 minutes she came and took an official claim. The entire ordeal lasted for almost 2 hours. Due to the incident our transportation to home was delayed and my husband was unable to make it to work. When I arrived home I spent the majority of my day on hold with Alaska Air. I was on hold for over 2 hours, the operator said I would receive a call back in over 3 hours! When I finally received a call back I was placed on hold again for another 20 minutes, the person I spoke with said our luggages should be leaving Portland only that night and which would arrive at 4 am the next day. When I asked them to confirm they were out luggages, they could not. It was over 24 hours and we did not receive any updates on the status of our lost luggage from DTW service center. Furthermore, I repeatedly tried calling Alaska Air baggage service office with which we made a claim at (DTW) and was unable to speak with a representative, no one picked up. Over 8 calls and 4 emails later, our luggages were returned dirty and scratched the following afternoon, with no communication from Alaska Air luggage service center. This is the worst customer service I have ever received from an airline! We are very disappointed with how the entire situation was handled.",,Couple Leisure,Economy Class,Seattle to Portland,Aug-18,2,2,2,2,1,1,no
Alaska Airlines,1,L Cooper,20th August 2018,"âœ… Trip Verified | Flew San Francisco to Boston. The worst! Avoid! Fourth business trip on Alaska Airlines this month so I have enough experience to write this review. Never on time always late. Old, dated and dirty planes. Broken equipment on plane. Disgusting bathrooms. Depressed, disinterested, and grumpy flight attendants. Limited food choices if not out of stock. Never again will I fly Alaska.",,Business,Premium Economy,San Francisco to Boston,Aug-18,2,1,1,3,1,1,no
Alaska Airlines,1,P Meares,12th August 2018,"âœ… Trip Verified | Anchorage to Chicago. Alaska Airlines is a joke. A 5 hour flight and all they give you is a pack of cookies, can't fill a water bottle with water and charge for everything under the sun? Don't book with Alaska Airlines, Delta is 100% better and you dont have to watch movies on your phone.",Boeing 737-800,Family Leisure,Economy Class,Anchorage to Chicago,Aug-18,1,1,1,1,1,1,no
Alaska Airlines,3,G Karawant,12th August 2018,"âœ… Trip Verified | Newark to Los Angeles. It was worst airline experience. Crew were very arrogant and lack of manners. After landing of flight when i asked for water, they refused and said its over. They were not assisting us at all. Though I had a baby and they were not co-operating at all. Seats were very uncomfortable.",,Family Leisure,Economy Class,Newark to Los Angeles,Aug-18,2,1,1,3,2,2,no
Alaska Airlines,3,Francis Murphy,10th August 2018,"âœ… Trip Verified | The last 2 days have been a nightmare traveling with Alaska Airlines. First, my flight from seattle to Redmond/Bend on 8/7 was delayed 2hrs after the pilot came on the intercom just prior to turning on the runway to let us know that a fuel hatch light came on and forced us back to the terminal and eventually changed planes. Then my flight on 8/8 from Rendmond to Portland was delayed because the crew could not figure out how to distribute the weight on the aircraft. This caused a 30 min delay. Finally, my flight from Portland to Seattle also on 8/8 (writing as I still wait in another delay) has been delayed now 2 going on 3 hours. What happen to Alaska Airlines being #1 in on time performance. This has honestly been a terrible experience. Hope they could get things figured out, as Alaska use to be my top choice to fly.",,Business,Business Class,Portland to Seattle,Aug-18,3,3,2,2,3,2,yes
Alaska Airlines,3,Chris Lowry,4th August 2018,âœ… Trip Verified | Phoenix to Spokane. You just lost a frequent flier. As we were boarding several people received text from Alaska stating the flight was delayed 45 minutes due to the Blue Angles flying in Seattle. Instead of stopping the loading process we continued to load for another 30 minutes and then sat on the Tarmac in Phoenix for 65 minutes. Completely unprofessional!,,Business,Economy Class,Phoenix to Spokane,Aug-18,1,3,2,2,2,1,no
Alaska Airlines,2,Peter Calimlim,2nd August 2018,"âœ… Trip Verified | Seattle to San Diego. Worst flight ever. It was an absolute circus. First, the flight attendants were a half hour late. Then, after about 45 minutes of sitting on the runway, a man in an orange vest came on board holding a small plastic cover. He then asked us to stand up and help him find out where the missing part came from. Totally unprofessional. He never found the origin of the mysterious piece and then left the plane shortly after inconveniencing all of us. I might as well be flying spirit.",,Couple Leisure,Economy Class,Seattle to San Diego,Aug-18,2,1,,,1,1,no
Alaska Airlines,2,G Cahill,31st July 2018,"âœ… Trip Verified | I was set to Fri. 7/27 10:42 am from LAX to JFK. At 8:15 am at LAX, I tried to print my boarding pass, it said the flight was canceled. I went to the help desk and was told it was canceled due to ""weather conditions."" I was given the ""next earliest flight to JFK"" departing at 6:15 pm with a layover in Portland, departing again to JFK at 9:05 pm, arriving on Sat. 5:59 am. My friend who had an 11 am flight flying out of LAX with JetBlue on the same day to the same location took off. The flight from Portland to JFK got delayed 1 hr and we didn't depart until 10 pm. I wasted 24 hrs either at the airport or on the place thanks to Alaska Airlines! I was beyond exhausted. My return flight home on Sun. 7/29 did not depart on time either. The plane arrived late and had issues so we didn't depart until 40 min. after the scheduled departing time. I will never fly Alaska Airlines again. They can't get anything right!",Boeing 737 / A321,Business,Economy Class,Los Angeles to New York via Portland,Jul-18,1,4,2,5,3,3,no
Alaska Airlines,2,Robert Powell,29th July 2018,"Not Verified | San Francisco to Austin. 3+ hour flight, no entertainment or even a magazine. No service, drinks or food, Staff never spoke to or acknowledge we were there. Ground Staff in SFO excellent.",,Business,Economy Class,San Francisco to Austin,Jul-18,4,1,1,1,5,3,no
Alaska Airlines,10,C Flack,28th July 2018,"âœ… Trip Verified | St Louis to Portland. I just want to express my gratitude and thank Alaska Airlines for making a stressful experience so much better. I was original booked on another airline. Due to a huge delay I was rebooked on Alaska Airlines. I had never flown them before, BUT I will definitely consider them in the future. The ticketing agent was wonderful, she waived my bag fees since it was not my fault that I had to be rebooked. The flight staff was exceptional. Also, the seats were not crushed together and it felt like you had ample leg room.",,Family Leisure,Economy Class,St Louis to Portland,Jul-18,5,5,5,,5,5,yes
Alaska Airlines,10,S Lafer,26th July 2018,"âœ… Trip Verified | My 7 year old flew as an unaccompanied minor at 8:25 pm and I must have missed the fine print that the counter closed at 8:00 pm and I received a courtesy call from a very nice lady. When I told her I was 45 minutes away which put me st 8:45 pm she made a way to make sure I was able to meet her st the counter. Her positive, friendly, and helping attitude is so appreciated. When flying an unaccompanied minor Alaska Airlines is the way to go!",,Family Leisure,Economy Class,SeaTac to Sacramento,Jul-18,5,4,,,5,5,yes
Alaska Airlines,3,A McLean,24th July 2018,"âœ… Trip Verified | San Diego to Orlando. Still stuck on the runway in Tampa with no water and a plane full of screaming children! Alaska Airlines has doubled the flight time from 5 hours to 10 hours and we still havenâ€™t taken off. All of the other weather delayed flights took off to Orlando hours ago but we didnâ€™t have pilots. Not to mention we ran out of food on our first leg of the flight so I wasnâ€™t even afforded the opportunity to purchase a meal! This is a nightmare. Iâ€™m starving, tired, thirsty, and nearly deaf from the screaming children. But donâ€™t worry Alaska Airlines told me theyâ€™re sorry.",,Solo Leisure,Economy Class,San Diego to Orlando,Jul-18,3,2,1,2,3,1,no
Alaska Airlines,1,E Sosa,15th July 2018,"Not Verified | My flight was cancelled the morning of due to mechanical issues, so I missed a shift at work and couldn't find anyone to pick me up later in the day (hence why I choose my flight). Not too terrible. Got bumped to the next morning, only problem is that they sent me to Seattle first to catch a connecting flight to Sacramento. The gates were wrong, I missed my connecting flight and now I'm stuck in Seattle. First (and last time) flying Alaskan.",,Solo Leisure,Economy Class,San Diego to Sacramento,Jul-18,2,2,,,2,1,no
Alaska Airlines,4,A Saavedra,14th July 2018,"Not Verified | This trip is part of my roundtrip back to SFO from NY. While I understand there may be issues with airplanes from time to time, itâ€™s sad to see the poor level of customer service coming from the Alaska attendants at our gates. The flight continues to be delayed with them not giving people an update. If you want to keep everyone happy, you should consider updating as much as possible over the PA. This is also known as communication. People shouldnâ€™t have to tell each other what is happening because the staff refuses to give the update. I will admit they have announced it but itâ€™s about every 1-2 hours.",,Business,Economy Class,New York City to San Francisco,Jul-18,3,2,,,1,2,no
Alaska Airlines,1,Chris Royer,10th July 2018,"Not Verified | Los Angeles to Seattle. Our flight was scheduled in the morning. When we got to our gate they informed us the plane had to have maintenance done and that the flight would be delayed for one hour. After an hour, they delayed another hour. This continued for 8 hours in the airport (even getting to an annoying every 10 minutes or so boarding time change). Once we finally got on the flight, our tray tables were broken and the net that was supposed to hold our belongings was torn to shreds so we had to put all of our snacks in the overhead. My chair cushion was also broken so it would continually slide forward and make me incredibly uncomfortable. The plane was only half full because at this time many passengers had gone on other planes. They would not allow me to switch to a seat that was not torn up despite the vast vacancy on the plane. I will never fly them again, like one reviewer said they are worse than the cheap airlines.",,Couple Leisure,Economy Class,Los Angeles to Seattle,Jul-18,1,1,,,1,1,no
Alaska Airlines,1,P Reame,8th July 2018,âœ… Trip Verified | San Francisco to Las Vegas. Going to Vegas to celebrate my daughter's birthday flight cancelled. I was on an hour's flight they rerouted us Seattle to Las Vegas 5 and 1/2 hours. No food no compensation major attitude saying that's the best we can do. We lost the money for the hotel which was expensive and we lost all of our activities that we had today we now will not get to Vegas until after 1am in the morning once again no food no drink. They said sorry that's the best we can do. Will never fly Alaska Airlines again they are worse than the cheap airlines.,,Family Leisure,Economy Class,San Francisco to Las Vegas,Jul-18,1,1,1,1,1,1,no
Alaska Airlines,10,Tessa AuClaire,2nd July 2018,âœ… Trip Verified | Seattle to Ketchikan. Amazing people working for this airline. My daughter flew by herself to Alaska and the staff were friendly and kind to her. I honestly felt safe leaving my daughter in their care. She said the flight was awesome. Thank you Alaska Airlines.,,Solo Leisure,Economy Class,Seattle to Ketchikan,Jul-18,4,5,5,,5,5,yes
Alaska Airlines,2,D Keich,1st July 2018,câœ… Trip Verified | Seattle to Santa Ana. This used to be a good airline. Their current policies are changing and causing agents to lie at the gate. I was so disappointed after I got BS thrown at me today so that they can ding me an extra $50. Definitely not a good customer experience.,,Solo Leisure,Economy Class,Seattle to Santa Ana,Jun-18,3,3,,,1,2,no
Alaska Airlines,1,S Jamilah,30th June 2018,"âœ… Trip Verified | Denver to Seattle. Horrible airline! Itâ€™s supposedly one of the better airlines, but itâ€™s a huge myth. The flight was not only delayed for more than 2 hours, but suddenly it decided to take a re-route via Spokane for re-fuel. They should refund the $$ that I spent on my ticket. A travel of 2.5 hours from Denver to Seattle ended up being a 6 hour one.",,Solo Leisure,Economy Class,Denver to Seattle,Jun-18,1,1,,,1,1,no
Alaska Airlines,1,M Nutting,27th June 2018,"âœ… Trip Verified | Portland to Honolulu. Never flying Alaskan Airlines again. I have a membership with them I will be canceling. They canceled our flight home and wanted us to say 2 more days in a terrible hotel, luckily we were able to get a flight with Hawaiian Airlines Home the next day. I called to see about compensation for the fact that we had to pay for our checked bag with Hawaiian and both of us had to call into work. Not to mention the fact that we were stuck at the airport for 3 hours tell we were helped. Itâ€™s crazy to me that they will not pay for there mistake we bought the protection plan and they told us they will still not be compensating us. I used there card all the time, hope itâ€™s worth losing costumers over a few hundred dollars they cost us by canceling the flight.",Boeing 737,Couple Leisure,Economy Class,Portland to Honolulu,Jun-18,1,2,2,1,1,1,no
Alaska Airlines,1,S Roh,27th June 2018,âœ… Trip Verified | I paid more than $300 for first class ticket from Santa Ana to San Francisco and when I booked for my ticket no one informed me that i have to take shuttle from San Jose airport to go to SCO. I only found it out when I was checking in and they said i should arrive to shuttle at 2.30. Obviously I thought the shuttle bus will be ready when i arrive at the airport but it wasn't. The first two shuttles were taken by those who had connection flight at the SCO so i waited for more than an hour to get on the shuttle. When I called the customer service centre they said there will be no compensation for this flight because it wasn't their fault. More than half on this flight found out about the changes after they got on board. You charged me the full price for first class ticket when you already knew that I will only enjoy it for like 30 min on the plane. All my plans and schedules got delayed and screwed. Greedy and bad airline! My experience with this airline doesnt even worth 1/10.,,Solo Leisure,First Class,Santa Ana to San Francisco,Jun-18,1,1,1,,1,1,no
Alaska Airlines,1,X Zhang,23rd June 2018,"âœ… Trip Verified | Kahului Maui to San Jose. When we flew to Hawaii, they said we went to the boarding gate too late, so they gave me and my 3 year old 2 separate seat in 2 different rows. I told him this is not acceptable and this is not good service. He replied, â€˜I provided good service by assign you premium seats.â€™ I rolled my eyes and told him that I donâ€™t care about premium seats, but the 3 years old cannot be seated alone. Luckily there are other passengers willing to switch seats with us. Now I am flying back. I try to check in online and select seats. I realized that they already assigned the seats for us. Again, my 3 years old is sitting by herself! You have the kidâ€™s age when we purchase the ticket, you should know automatically they have to be with their parents. The whole Hawaii trip is awesome and I would never use Alaska Airlines again. Such a disappointment that Virgin America is now part of Alaska. They used to have good services. Even UA donâ€™t split family seats. Alaska Airlines now is the worst on my list and will not go with this again.",,Family Leisure,Economy Class,Kahului Maui to San Jose,Jun-18,2,2,1,,1,1,no
Alaska Airlines,1,Sarah Salava,21st June 2018,"âœ… Trip Verified | New York to Paris San Francisco. I didnâ€™t think it gets worse than United, but fly out of JFK with Alaska and you may get your flight delayed over 2hrs and the folks at the gate donâ€™t even bother to use the intercom. They just yell out the direction so no one can hear. Then they overbook the flight of course. Will never book Alaska again. Wish Virgin would have bought them, not the other way around, they used to be my favorite.",1029,Business,Economy Class,New York to Paris San Francisco,Jun-18,2,1,1,1,1,1,no
Alaska Airlines,10,Paul Spencer,19th June 2018,"Not Verified | Seattle to San Diego. Alaska Airlines is the best. I don't think there is another domestic airline that gives first class passengers access to their lounge, downer is there is not a lounge at San Diego but that's not the airline's fault. Service on board is great with decent food and usually great wines. The lounge in Seattle is always very busy but it is always possible to find a seat and get a pre-flight beverage, food however is not that great in the lounge compared with the Amex Centurion lounge but they feed you well on the flight! Mileage Plan membership is also great - they give 175% mileage to First Class and the miles can be used on many great airlines internationally. Streaming video service has good movies. Keep it up Alaska.",Boeing 737,Family Leisure,First Class,Seattle to San Diego,Jun-18,5,5,5,5,5,5,yes
Alaska Airlines,9,Lindsay Pulliam,19th June 2018,"âœ… Trip Verified | Reno - Anchorage, Fairbanks - Reno. All flights were on time except a one hour delay that we were aware of and kept updated on, so no problem there. The planes made a few scheduled stops in Ketchikan, Sitka, Yakutat and Cordova so got to see a little bit more of Alaska then planned. The ground staff were pleasant and did not give us grief even with one of our bags being 10 lbs. over weight. Thought that was very nice and unexpected. The flight crew were pleasant on all flights with greetings upon boarding and goodbye's upon disembarking. Drinks and snacks provided on most all flights except some of the very short 25 minute flights. Only had to pay for baggage on one flight and all the others were free. On our flight home from Fairbanks there had been a booking error which was the fault of Alaska Airlines which we discovered before our scheduled departure luckily and when calling customer service they were extremely helpful, corrected the error and gave us a free upgrade on the flight. Very nice gesture indeed. It had been many a year since I last flew with Alaska Airlines and can honestly say I was impressed with their service on all levels. Planes were comfortable and clean and the staff seemed to enjoy their jobs. Not grumpy, rude or in any way negative about anything. Very nice experience.",Boeing 737-800/900,Couple Leisure,Economy Class,"Reno to Anchorage via Ketichikan, Juneau",Jun-18,4,5,4,,5,4,yes
Alaska Airlines,1,Eric Atallah,14th June 2018,"Not Verified | Seattle to Las Vegas. I fly Alaska Airlines almost every domestic trip I take, however that has recently changed. I will no longer fly Alaska. On a recent flight, my wife and I were among the last passengers to board, and were forced to check our carry on luggage (1 small suit case), because we were told there was limited overhead space. We begrudgingly accept and board the plane to find about half the overhead space completely empty. I'm not exaggerating here either. There was room for another 30+ luggage bags. I immediately ask the nearest stewardess why we were being asked to check our bags with all the obvious available space, and she responds with: ""We are concerned about overhead space filling up"". I shoot her a confusing look and then look to the ample available overhead space, and she doesn't respond. This definitely sounds like a lame and nit-picky complaint, but we were meeting a friend at our destination who would be waiting on us to share a cab with, and the extra 20 minutes waiting for our checked luggage is a bit ridiculous. We packed light for the very reason of not having to check any luggage.",,Couple Leisure,Economy Class,Seattle to Las Vegas,Jun-18,1,1,1,1,1,1,no
Alaska Airlines,1,I Thompson,12th June 2018,"Not Verified | This is worst airline I have come across. Canceled our flight from San Francisco to Newark and gave us a few hours notice, I had to rush to the airport and rearrange a flight with United Airlines. We had flown from New Zealand. We had 3 of us in 3 seperates seats, family holiday messed up by Alaska Airlines.",,Family Leisure,Economy Class,San Francisco to Newark,Jun-18,1,1,,,1,1,no
Alaska Airlines,1,C Lee,11th June 2018,"âœ… Trip Verified | Why there is not zero star? This airline should be zero. I came to Dallas from Maui. When I came to Dallas TX, the flight delayed 3 hours. Many passengers had to transfer at Seattle. The people had stood in line for 1.5 hours with big stress. My flight was delayed and cancel in yesterday. They booked todayâ€™s flight with first class. The flight delayed again and again in the morning. I should wait for 7 hours in the airport to take the flight with first class. I thought it can be delayed and cancel again and again. They suggested to change to American airline with economy to save time. I accepted this suggestion. Now I have to wait for 3 hours. I believe I made right decision. If I kept the Alaska airline with first class, I cannot expect when I can arrive at my final destination.",,Solo Leisure,Economy Class,Dallas to Honolulu,Jun-18,,,,,,1,no
Alaska Airlines,3,Ken Crawford,9th June 2018,"Not Verified | Detroit to Anchorage. Seating was a bit tight, flight attendants were very impersonal almost like robots trying to get through the drink and snack routines (other than that they didn't seem to want to be bothered)! They separated me and my wife, and didn't much care. We purchased the seating together so we could talk during our trip but that didn't happen! Alaska was awesome, the flight there was terrible. Will look for other means of transportation next time.",,Couple Leisure,Economy Class,Detroit to Anchorage,Jun-18,3,1,3,3,4,2,no
Alaska Airlines,2,Mark Flora,9th June 2018,"Not Verified | Denver to San Francisco. I had a very poor experience last week with Alaska Airline. I booked a one way flight from Denver to SFO (FL 1867) scheduled to depart at 516 PM. On arrival to DIA, told new departure time was 6 PM. They had to wait for ""paperwork"". Finally boarded after an hour then sat in plane for over another hour because they said their tug had a dead battery. At this point they had to get another pilot or co-pilot as they had already worked more then permitted hours. Finally we were underway over 2 hours late and we were told gate agents would meet us with information on connecting flights. We landed then had to wait to taxi to a gate and officially arrived 2 hrs and 31 minutes late. There was no gate agent there on arrival and I missed my connecting flight to Palm Springs. I had to look for a departing Alaska flight to find an agent. I had checked online and there was a United flight leaving at 1030 PM that I could have made had there been an agent to meet us. I could have been given a hotel voucher but decided to take a 6 AM flight to LAX so i ended up at airport all night. Then Alaska told me they would Uber me to Palm Springs at their expense as there were no flights to PSP that day. My Uber driver didn't find me so I had to wait in line again for 40 minutes and Alaska did send me to Palm springs by Super Shuttle. I was no offered any compensation but a $12 food voucher at the time. Very frustrated with Alaska Airlines!",,Solo Leisure,Economy Class,Denver to San Francisco,Jun-18,3,3,,4,1,2,no
